Ticker,Start,End,FinalValue_Strategy,FinalValue_BH,CAGR_Strategy,CAGR_BH,MaxDD_Strategy,MaxDD_BH,Vol_Strategy,Vol_BH,Sharpe_Strategy,Sharpe_BH,Sat_Entries,Sat_Exits,Sat_TimeInMarket,TotalTradeCosts_$
SPY,2010-01-01,2018-12-31,17578.733831043668,26204.31819982498,0.06452826336188955,0.11323943529025993,-0.12365573240397387,-0.19348904255668253,0.0979298967862055,0.1490869338020796,0.6876656007549983,0.7944146501201788,37,37,0.6027397260273972,828.7473863636926
QQQ,2010-01-01,2018-12-31,19763.80331718528,36289.98655736043,0.07874541485239162,0.15434588496702228,-0.17267067654657908,-0.22796640184166617,0.11782962848599327,0.17362660719785006,0.7024288350687277,0.9138945197985301,39,39,0.5713654441007512,749.2396068433357
IWM,2010-01-01,2018-12-31,14483.068005921035,23621.20495921595,0.0417295206144197,0.1004483135152412,-0.18274546957052396,-0.2891480512375679,0.1282417835040869,0.19547748204424165,0.3830021291013898,0.5876773362156884,38,38,0.5355722492266902,803.6226282878079
EFA,2010-01-01,2018-12-31,10100.677881838952,13520.023655870074,0.0009325387434839794,0.03415397237220663,-0.2460775907262086,-0.25860964701186795,0.11548953906806411,0.18313037309154695,0.06613781123111312,0.27531112293227306,44,44,0.5223155103844455,866.3218191075999
TLT,2010-01-01,2018-12-31,12639.279693391556,17555.927883931374,0.026436997567200526,0.06467781231217318,-0.1807945268370219,-0.20658830089287183,0.10155410036655842,0.1393119270284352,0.3077042461509046,0.5196071332912728,45,44,0.4220061864781264,875.582546778026
GLD,2010-01-01,2018-12-31,9696.881869595354,11025.500381956108,-0.003415706122698925,0.010930575086937067,-0.3719758627085765,-0.45555012734257017,0.10787346399900598,0.1585341816414668,0.022273774924695445,0.1481211109889671,40,39,0.3990278391515687,665.2231722362693
